0,1,2,3,4,5,6,7
2011NBA总决赛独行侠 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
德克-诺维茨基,32,40.3,26.0,9.7,2.0,0.7,0.7
杰森-特里,33,32.5,18.0,2.0,3.2,1.3,0.0
肖恩-马里昂,32,35.8,13.7,6.3,2.3,0.8,0.7
泰森-钱德勒,28,37.3,9.7,8.8,0.7,1.2,1.2
JJ-巴里亚,26,21.3,8.8,2.2,3.2,0.5,0.0
杰森-基德,37,37.5,7.7,4.5,6.3,1.2,0.8
德肖恩-史蒂文森,29,17.2,7.0,1.5,0.3,0.7,0.2
伊安-马辛米,24,9.0,3.0,1.7,0.0,0.3,0.0
布莱恩-卡迪纳尔,33,6.0,1.4,0.2,0.2,0.2,0.0
